CustomerID,FirstPurchase,LastPurchase,TotalTransactions,UniqueInvoices,TotalRevenue,AvgRevenue,StdRevenue,TotalQuantity,AvgQuantity,AvgUnitPrice,Country,CustomerLifespan,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,CustomerSegment
12346.0,2011-01-18 10:01:00,2011-01-18 10:01:00,1,1,77183.6,77183.6,,74215,74215.0,1.04,UNITED KINGDOM,0,325,1,77183.6,1,1,5,115,Lost Customers
12347.0,2010-12-07 14:57:00,2011-12-07 15:52:00,174,7,4055.3,23.31,22.89,2296,13.2,2.67,ICELAND,365,1,7,4055.3,5,5,5,555,Champions
12348.0,2010-12-16 19:09:00,2011-09-25 13:13:00,29,4,1744.04,60.14,49.33,2316,79.86,4.76,FINLAND,282,74,4,1744.04,2,4,4,244,At Risk
12349.0,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1,1757.55,24.08,34.66,631,8.64,8.29,ITALY,0,18,1,1757.55,4,1,4,414,New Customers
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,1,334.4,19.67,7.28,197,11.59,3.84,UNITED KINGDOM,0,309,1,334.4,1,1,2,112,Lost Customers
12352.0,2011-02-16 12:33:00,2011-11-03 14:37:00,84,8,2488.64,29.63,51.98,524,6.24,16.1,GERMANY,260,35,8,2488.64,3,5,5,355,Loyal Customers
12353.0,2011-05-19 17:47:00,2011-05-19 17:47:00,4,1,89.0,22.25,12.22,20,5.0,6.07,BAHRAIN,0,203,1,89.0,1,1,1,111,Lost Customers
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,55,1,996.42,18.12,7.35,464,8.44,4.69,FRANCE,0,231,1,996.42,1,1,4,114,Lost Customers
12355.0,2011-05-09 13:49:00,2011-05-09 13:49:00,13,1,459.4,35.34,29.7,240,18.46,4.2,BAHRAIN,0,213,1,459.4,1,1,2,112,Lost Customers
12356.0,2011-01-18 09:50:00,2011-11-17 08:40:00,58,3,2760.43,47.59,48.99,1587,27.36,3.04,PORTUGAL,302,22,3,2760.43,4,3,5,435,Loyal Customers
12357.0,2011-11-06 16:07:00,2011-11-06 16:07:00,127,1,6075.19,47.84,39.97,2604,20.5,3.41,SWITZERLAND,0,32,1,6075.19,4,1,5,415,New Customers
12358.0,2011-07-12 10:04:00,2011-12-08 10:26:00,19,2,1168.06,61.48,52.28,248,13.05,8.27,AUSTRIA,149,1,2,1168.06,5,2,4,524,New Customers
12359.0,2011-01-12 12:43:00,2011-10-13 12:47:00,239,4,6183.73,25.87,31.88,1575,6.59,8.74,CYPRUS,274,57,4,6183.73,3,4,5,345,Loyal Customers
12360.0,2011-05-23 09:43:00,2011-10-18 15:22:00,122,3,2536.96,20.79,21.92,1075,8.81,3.64,UNITED KINGDOM,148,51,3,2536.96,3,3,5,335,Loyal Customers
12361.0,2011-02-25 13:51:00,2011-02-25 13:51:00,10,1,189.9,18.99,3.28,91,9.1,3.34,BELGIUM,0,286,1,189.9,1,1,1,111,Lost Customers
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,249,10,4915.09,19.74,9.9,2099,8.43,4.02,BELGIUM,292,2,10,4915.09,5,5,5,555,Champions
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,22,2,522.0,23.73,16.07,384,17.45,2.36,UNSPECIFIED,132,109,2,522.0,2,2,3,223,Lost Customers
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,81,4,1234.75,15.24,8.92,1453,17.94,1.92,BELGIUM,104,7,4,1234.75,5,4,4,544,Champions
12365.0,2011-02-21 13:51:00,2011-02-21 14:04:00,22,2,641.38,29.15,65.2,174,7.91,17.15,UNITED KINGDOM,0,290,2,641.38,1,2,3,123,Lost Customers
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,10,1,158.4,15.84,5.71,148,14.8,3.48,DENMARK,0,3,1,158.4,5,1,1,511,New Customers
12370.0,2010-12-14 12:58:00,2011-10-19 14:51:00,159,4,3364.94,21.16,21.31,2222,13.97,2.83,CYPRUS,309,50,4,3364.94,3,4,5,345,Loyal Customers
12371.0,2011-10-11 10:43:00,2011-10-26 10:16:00,60,2,1824.46,30.41,45.3,569,9.48,3.91,SWITZERLAND,14,44,2,1824.46,3,2,4,324,Potential Loyalists
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,48,3,1220.64,25.43,16.86,734,15.29,3.06,DENMARK,224,71,3,1220.64,3,3,4,334,Loyal Customers
12373.0,2011-02-01 13:10:00,2011-02-01 13:10:00,13,1,347.6,26.74,10.33,177,13.62,4.87,AUSTRIA,0,310,1,347.6,1,1,2,112,Lost Customers
12374.0,2011-11-14 15:37:00,2011-11-14 15:37:00,30,1,696.01,23.2,20.64,306,10.2,4.48,AUSTRIA,0,24,1,696.01,4,1,3,413,New Customers
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,16,2,436.7,27.29,15.07,168,10.5,7.22,FINLAND,87,10,2,436.7,5,2,2,522,New Customers
12377.0,2010-12-20 09:37:00,2011-01-28 15:45:00,74,2,1575.38,21.29,15.68,906,12.24,2.77,UNITED KINGDOM,39,314,2,1575.38,1,2,4,124,Lost Customers
12378.0,2011-08-02 10:34:00,2011-08-02 10:34:00,210,1,3870.1,18.43,9.01,2421,11.53,3.03,SWITZERLAND,0,129,1,3870.1,2,1,5,215,Lost Customers
12379.0,2011-06-22 16:32:00,2011-09-19 10:09:00,40,2,852.24,21.31,12.2,407,10.18,2.87,BELGIUM,88,81,2,852.24,2,2,3,223,Lost Customers
12380.0,2011-06-07 09:49:00,2011-11-18 11:27:00,98,4,2547.39,25.99,27.18,1023,10.44,3.42,BELGIUM,164,21,4,2547.39,4,4,5,445,Champions
12381.0,2011-08-12 09:57:00,2011-12-05 12:44:00,83,5,1774.27,21.38,26.49,772,9.3,4.8,NORWAY,115,4,5,1774.27,5,4,4,544,Champions
12383.0,2010-12-22 14:28:00,2011-06-08 08:02:00,93,5,1753.11,18.85,13.02,1457,15.67,3.09,BELGIUM,167,184,5,1753.11,1,4,4,144,At Risk
12384.0,2011-08-10 11:23:00,2011-11-11 08:39:00,26,2,570.27,21.93,17.59,122,4.69,8.04,SWITZERLAND,92,28,2,570.27,4,2,3,423,New Customers
12386.0,2010-12-08 09:53:00,2011-01-06 12:37:00,10,2,401.9,40.19,22.82,354,35.4,2.39,UNITED KINGDOM,29,337,2,401.9,1,2,2,122,Lost Customers
12388.0,2011-01-17 11:12:00,2011-11-24 12:30:00,94,6,2659.94,28.3,17.15,1390,14.79,2.83,AUSTRALIA,311,15,6,2659.94,4,4,5,445,Champions
12390.0,2011-09-21 09:33:00,2011-09-21 09:33:00,29,1,464.84,16.03,5.15,334,11.52,3.68,BELGIUM,0,79,1,464.84,2,1,2,212,Lost Customers
12391.0,2011-11-18 12:07:00,2011-11-18 12:07:00,91,1,409.04,4.49,5.66,278,3.05,2.36,CYPRUS,0,21,1,409.04,4,1,2,412,New Customers
12393.0,2011-01-11 09:47:00,2011-09-28 15:41:00,63,4,1566.0,24.86,18.16,812,12.89,2.25,UNITED KINGDOM,260,71,4,1566.0,3,4,4,344,Loyal Customers
12394.0,2011-05-06 14:01:00,2011-10-07 08:08:00,27,2,1272.48,47.13,64.92,819,30.33,3.37,BELGIUM,153,63,2,1272.48,3,2,4,324,Potential Loyalists
12395.0,2010-12-03 16:35:00,2011-11-20 15:21:00,152,12,2891.28,19.02,12.04,1997,13.14,4.01,BELGIUM,351,18,12,2891.28,4,5,5,455,Champions
12397.0,2011-07-27 14:21:00,2011-11-04 09:52:00,120,2,2307.01,19.23,16.06,1212,10.1,3.39,BELGIUM,99,35,2,2307.01,3,2,5,325,Potential Loyalists
12398.0,2011-10-25 10:27:00,2011-10-25 10:27:00,84,1,1625.46,19.35,22.54,1382,16.45,2.01,SWITZERLAND,0,45,1,1625.46,3,1,4,314,Potential Loyalists
12399.0,2011-03-23 09:42:00,2011-08-12 13:15:00,57,4,1072.29,18.81,10.56,1118,19.61,2.16,BELGIUM,142,118,4,1072.29,2,4,4,244,At Risk
12401.0,2011-02-09 13:50:00,2011-02-09 13:50:00,5,1,84.3,16.86,5.42,11,2.2,9.68,BELGIUM,0,302,1,84.3,1,1,1,111,Lost Customers
12402.0,2011-01-20 13:49:00,2011-01-20 13:49:00,9,1,184.5,20.5,7.96,76,8.44,3.48,BELGIUM,0,322,1,184.5,1,1,1,111,Lost Customers
12403.0,2011-10-21 10:51:00,2011-10-21 10:51:00,4,1,261.7,65.42,54.15,56,14.0,7.81,UNITED KINGDOM,0,49,1,261.7,3,1,2,312,Potential Loyalists
12405.0,2011-07-14 08:52:00,2011-07-14 08:52:00,52,1,1671.87,32.15,43.53,797,15.33,3.64,UNITED KINGDOM,0,148,1,1671.87,2,1,4,214,Lost Customers
12406.0,2011-06-09 10:23:00,2011-11-17 19:22:00,99,2,3167.1,31.99,23.29,1730,17.47,2.46,DENMARK,161,21,2,3167.1,4,2,5,425,New Customers
12407.0,2011-03-20 13:21:00,2011-10-21 10:11:00,73,5,1654.28,22.66,16.87,1344,18.41,3.41,BELGIUM,214,49,5,1654.28,3,4,4,344,Loyal Customers
