StockCode,Description,AvgPrice,PriceStd,MinPrice,MaxPrice,TotalQuantitySold,AvgQuantityPerOrder,TotalOrders,TotalRevenue,AvgRevenuePerOrder,UniqueCustomers,CountriesServed,PriceVariability,PopularityScore,RevenuePerCustomer,ProductCategory
10002,INFLATABLE POLITICAL GLOBE,1.1,0.38,0.85,2.08,1026,14.66,70,1120.77,16.01,41,7,0.3454545454545454,0.03216911764705882,27.335853658536585,Low_Performer
10080,GROOVY CACTUS INFLATABLE,0.56,0.49,0.39,2.08,483,21.0,23,513.77,22.34,19,2,0.8749999999999999,0.010569852941176471,27.040526315789474,Low_Performer
10120,DOGGY RUBBER,0.21,0.0,0.21,0.21,186,6.64,28,39.06,1.4,25,3,0.0,0.012867647058823529,1.5624,Low_Performer
10123C,HEARTS WRAPPING TAPE,0.65,0.0,0.65,0.65,5,1.67,3,3.25,1.08,3,1,0.0,0.0013786764705882354,1.0833333333333333,Low_Performer
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,0.0,0.42,0.42,16,3.2,5,6.72,1.34,5,1,0.0,0.002297794117647059,1.3439999999999999,Low_Performer
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,0.0,0.42,0.42,17,4.25,4,7.14,1.78,4,1,0.0,0.001838235294117647,1.785,Low_Performer
10125,MINI FUNKY DESIGN TAPES,0.86,0.27,0.42,1.66,1262,15.02,84,974.24,11.6,46,4,0.313953488372093,0.03860294117647059,21.17913043478261,Low_Performer
10133,COLOURING PENCILS BROWN TUBE,0.65,0.25,0.42,1.66,2744,14.6,188,1471.44,7.83,98,7,0.3846153846153846,0.08639705882352941,15.014693877551021,Low_Performer
10135,COLOURING PENCILS BROWN TUBE,1.41,0.65,0.25,2.51,2162,12.79,169,2118.39,12.53,90,5,0.4609929078014185,0.07766544117647059,23.537666666666667,Low_Performer
11001,ASSTD DESIGN RACING CAR PEN,1.9,0.85,0.83,3.36,1139,10.35,110,1820.36,16.55,45,8,0.4473684210526316,0.050551470588235295,40.452444444444446,Low_Performer
15030,FAN BLACK FRAME,0.43,0.5,0.29,2.08,283,21.77,13,350.57,26.97,11,1,1.1627906976744187,0.0059742647058823525,31.87,Low_Performer
15034,PAPER POCKET TRAVELING FAN,0.37,0.33,0.07,0.85,5289,40.07,132,737.6,5.59,67,6,0.891891891891892,0.06066176470588235,11.008955223880598,Low_Performer
15036,ASSORTED COLOURS SILK FAN,1.07,0.37,0.53,1.63,22320,44.37,503,17440.91,34.67,191,8,0.34579439252336447,0.23115808823529413,91.31366492146597,Low_Performer
15039,SANDALWOOD FAN,1.23,0.4,0.53,1.66,2043,14.49,141,1902.03,13.49,59,4,0.3252032520325204,0.06479779411764706,32.23779661016949,Low_Performer
15044A,PINK PAPER PARASOL,3.65,1.23,2.55,5.79,439,4.53,97,1365.93,14.08,53,4,0.336986301369863,0.04457720588235294,25.772264150943396,Low_Performer
15044B,BLUE PAPER PARASOL,3.52,1.17,2.55,5.91,303,5.61,54,890.89,16.5,32,4,0.3323863636363636,0.024816176470588234,27.8403125,Low_Performer
15044C,PURPLE PAPER PARASOL,3.84,1.33,2.95,5.91,259,3.12,83,878.01,10.58,42,4,0.3463541666666667,0.03814338235294118,20.905,Low_Performer
15044D,RED PAPER PARASOL,3.36,1.05,2.55,5.91,622,7.97,78,1754.86,22.5,52,6,0.3125,0.035845588235294115,33.74730769230769,Low_Performer
15056BL,EDWARDIAN PARASOL BLACK,6.42,1.91,1.95,12.72,2728,9.0,303,15099.58,49.83,139,12,0.29750778816199375,0.13924632352941177,108.63007194244604,Low_Performer
15056N,EDWARDIAN PARASOL NATURAL,6.93,2.49,1.95,12.72,3905,8.9,439,21858.9,49.79,181,11,0.35930735930735935,0.20174632352941177,120.76740331491713,Low_Performer
15056P,EDWARDIAN PARASOL PINK,6.37,1.73,4.6,12.72,760,5.47,139,4259.72,30.65,88,9,0.271585557299843,0.06387867647058823,48.40590909090909,Low_Performer
15056bl,EDWARDIAN PARASOL BLACK,12.49,0.08,12.46,12.72,81,1.37,59,1012.12,17.15,1,2,0.006405124099279424,0.027113970588235295,1012.12,Low_Performer
15056n,EDWARDIAN PARASOL NATURAL,12.49,0.08,12.46,12.72,113,1.43,79,1410.84,17.86,1,3,0.006405124099279424,0.03630514705882353,1410.84,Low_Performer
15056p,EDWARDIAN PARASOL PINK,12.5,0.1,12.46,12.72,33,1.27,26,412.48,15.86,1,1,0.008,0.011948529411764705,412.48,Low_Performer
15058A,BLUE POLKADOT GARDEN PARASOL,9.17,2.41,2.08,24.96,212,2.49,85,1643.65,19.34,39,7,0.2628135223555071,0.0390625,42.1448717948718,Low_Performer
15058B,PINK POLKADOT GARDEN PARASOL,9.88,3.13,3.95,24.96,226,2.35,96,1863.69,19.41,33,7,0.31680161943319834,0.04411764705882353,56.47545454545455,Low_Performer
15058C,ICE CREAM DESIGN GARDEN PARASOL,9.33,3.71,3.95,24.96,237,3.39,70,1403.13,20.04,26,4,0.39764201500535906,0.03216911764705882,53.96653846153846,Low_Performer
15060B,FAIRY CAKE DESIGN UMBRELLA,5.01,2.1,2.08,8.47,442,3.45,128,1758.77,13.74,66,7,0.4191616766467066,0.058823529411764705,26.648030303030303,Low_Performer
15060b,FAIRY CAKE DESIGN UMBRELLA,8.29,0.0,8.29,8.29,3,1.0,3,24.87,8.29,1,1,0.0,0.0013786764705882354,24.87,Low_Performer
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.14,0.04,0.08,0.25,2758,41.79,66,343.07,5.2,52,7,0.2857142857142857,0.030330882352941176,6.5975,Low_Performer
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,0.0,0.12,0.12,30,10.0,3,3.6,1.2,3,1,0.0,0.0013786764705882354,1.2,Low_Performer
16011,ANIMAL STICKERS,0.21,0.0,0.21,0.21,1673,39.83,42,351.33,8.36,36,4,0.0,0.019301470588235295,9.759166666666665,Low_Performer
16012,FOOD/DRINK SPONGE STICKERS,0.21,0.0,0.21,0.21,1124,35.12,32,236.04,7.38,29,6,0.0,0.014705882352941176,8.139310344827585,Low_Performer
16014,SMALL CHINESE STYLE SCISSOR,0.4,0.04,0.32,0.42,13248,249.96,53,4302.16,81.17,33,4,0.09999999999999999,0.024356617647058824,130.36848484848485,Low_Performer
16015,MEDIUM CHINESE STYLE SCISSOR,0.56,0.34,0.36,2.08,951,43.23,22,1066.48,48.48,17,3,0.6071428571428571,0.01011029411764706,62.734117647058824,Low_Performer
16016,LARGE CHINESE STYLE SCISSOR,0.85,0.02,0.72,0.85,1243,20.05,62,1027.95,16.58,39,7,0.023529411764705882,0.02849264705882353,26.357692307692307,Low_Performer
16020C,CLEAR STATIONERY BOX SET,0.83,0.01,0.83,0.85,74,4.62,16,61.6,3.85,2,1,0.012048192771084338,0.007352941176470588,30.8,Low_Performer
16033,MINI HIGHLIGHTER PENS,0.51,0.88,0.12,2.08,960,192.0,5,350.4,70.08,5,2,1.7254901960784315,0.002297794117647059,70.08,Low_Performer
16043,POP ART PUSH DOWN RUBBER,0.12,0.0,0.12,0.12,98,49.0,2,11.76,5.88,2,1,0.0,0.0009191176470588235,5.88,Low_Performer
16045,POPART WOODEN PENCILS ASST,0.04,0.02,0.04,0.12,8400,131.25,64,360.0,5.62,56,5,0.5,0.029411764705882353,6.428571428571429,Low_Performer
16046,TEATIME PEN CASE & PENS,0.93,0.31,0.85,2.08,86,5.38,16,98.93,6.18,14,1,0.3333333333333333,0.007352941176470588,7.066428571428572,Low_Performer
16048,TEATIME ROUND PENCIL SHARPENER,0.33,0.32,0.12,0.85,1340,20.3,66,190.9,2.89,41,8,0.9696969696969697,0.030330882352941176,4.65609756097561,Low_Performer
16049,TEATIME GEL PENS ASST,0.57,0.85,0.12,2.08,542,108.4,5,220.88,44.18,5,1,1.4912280701754388,0.002297794117647059,44.176,Low_Performer
16052,TEATIME PUSH DOWN RUBBER,0.59,0.29,0.19,0.84,479,36.85,13,115.3,8.87,6,3,0.4915254237288135,0.0059742647058823525,19.216666666666665,Low_Performer
16054,POPART RECT PENCIL SHARPENER ASST,0.13,0.06,0.12,0.42,986,35.21,28,118.92,4.25,25,3,0.4615384615384615,0.012867647058823529,4.7568,Low_Performer
16151A,FLOWERS HANDBAG BLUE AND ORANGE,1.25,0.0,1.25,1.25,49,16.33,3,61.25,20.42,3,1,0.0,0.0013786764705882354,20.416666666666668,Low_Performer
16156L,"WRAP, CAROUSEL",0.42,0.0,0.42,0.42,475,26.39,18,199.5,11.08,17,7,0.0,0.008272058823529412,11.735294117647058,Low_Performer
16156S,WRAP PINK FAIRY CAKES,0.42,0.02,0.34,0.42,5575,35.06,159,2236.5,14.07,128,9,0.04761904761904762,0.07306985294117647,17.47265625,Low_Performer
16161G,WRAP BAD HAIR DAY,0.1,0.0,0.1,0.1,700,31.82,22,70.0,3.18,22,4,0.0,0.01011029411764706,3.1818181818181817,Low_Performer
16161M,WRAP PINK FLOCK,0.42,,0.42,0.42,25,25.0,1,10.5,10.5,1,1,,0.00045955882352941176,10.5,Low_Performer
16161P,WRAP ENGLISH ROSE,0.42,0.01,0.34,0.42,6951,29.21,238,2875.42,12.08,182,16,0.02380952380952381,0.109375,15.79901098901099,Low_Performer
16161U,WRAP SUKI AND FRIENDS,0.42,0.01,0.36,0.42,3925,30.66,128,1624.5,12.69,99,10,0.02380952380952381,0.058823529411764705,16.40909090909091,Low_Performer
16162L,THE KING GIFT BAG,0.81,0.48,0.65,2.08,50,5.56,9,75.4,8.38,6,1,0.5925925925925926,0.004136029411764706,12.566666666666668,Low_Performer
16162M,ALAN HODGE CANT MAMAGE THIS SECTION,0.6,0.55,0.42,2.08,58,6.44,9,74.16,8.24,7,2,0.9166666666666667,0.004136029411764706,10.594285714285714,Low_Performer
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.67,0.3,0.42,2.08,415,9.88,42,264.64,6.3,20,3,0.4477611940298507,0.019301470588235295,13.232,Low_Performer
16169E,WRAP 50'S CHRISTMAS,0.42,0.0,0.36,0.42,4238,29.43,144,1767.96,12.28,137,9,0.0,0.0661764705882353,12.904817518248175,Low_Performer
16169K,WRAP FOLK ART,0.42,0.0,0.42,0.42,150,25.0,6,63.0,10.5,6,3,0.0,0.0027573529411764708,10.5,Low_Performer
